what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421850527939
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850544098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850544942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850546673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850567267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850622513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850625935
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850627436
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850645007
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850653596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850655851
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850657413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850667812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850698558
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850701376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850702909
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850711072
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421850713662
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421850714400
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421850724370
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421850724573
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421850726761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850743428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850746317
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850747832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850754998
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850788316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850790363
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850792004
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850805350
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421850823194
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1421850860646
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1421850870368
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1421850877161
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1421850882695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850896081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850898551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850900020
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850909658
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850948359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850951859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850953375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850960598
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1421850969799
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421850970783
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421850970971
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421850971346
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421850971549
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421850971939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421850975277
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421850975771
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421850975803
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421850975834
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421850975865
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421850975896
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421850975928
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421850975959
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421850975990
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421850976178
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421850976381
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421850976584
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421850976771
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421850976943
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1421850977334
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1421850978443
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421850992465
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1421850992575
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421851005221
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1421851007580
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1421851019663
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421851025840
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421851028637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421851030276
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421851052448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421851075044
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1421851075157
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421851077845
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421851079595
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1421851079704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421851081689
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1421851085233
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421851095448
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421851096037
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421851098384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421851106424
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1421851107340
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1421851107731
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1421851108246
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1421851109231
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1421851110450
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1421851110747
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421851126921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421851127452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421851129376
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421851153152
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1421851161990
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1421851162397
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1421851163990
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1421851164303
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1421851164615
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1421851173783
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1421851174204
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1421851182042
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1421851191464
